TIMESTAMP;RSSI NO ANTENNA;RSSI ANTENNA PCB;RSSI ANTENNA 3D;AVERAGE NO;AVERAGE PCB;AVERAGE 3D;ORIENTATION_X;ORIENTATION_Y;ORIENTATION_Z;
14:10:48:565;0;0;-78;0;0;-77;-0,050;0,010;-0,007;
14:10:48:720;0;-77;0;0;-77;0;-0,051;0,010;-0,009;
14:10:48:875;0;0;-78;0;0;-77;-0,054;0,012;-0,009;
14:10:49:033;0;-77;0;0;-77;0;-0,056;0,008;-0,007;
14:10:49:656;0;-77;0;0;-77;0;-0,047;0,011;-0,007;
14:10:49:805;0;0;-78;0;0;-77;-0,041;0,014;-0,009;
14:10:49:957;0;-77;0;0;-77;0;-0,041;0,013;-0,008;
14:10:50:115;0;0;-76;0;0;-77;-0,038;0,009;-0,008;
14:10:50:267;0;-77;0;0;-77;0;-0,047;0,012;-0,008;
14:10:50:424;0;0;-76;0;0;-77;-0,046;0,011;-0,006;
14:10:50:580;0;-77;0;0;-77;0;-0,047;0,009;-0,008;
14:10:50:890;0;-78;0;0;-77;0;-0,050;0,011;-0,008;
14:10:51:042;0;0;-77;0;0;-77;-0,053;0,009;-0,007;
14:10:51:200;0;-78;0;0;-77;0;-0,057;0,010;-0,009;
14:10:51:358;0;0;-77;0;0;-77;-0,053;0,010;-0,007;
14:10:51:852;0;-78;0;0;-77;0;-0,053;0,013;-0,008;
14:10:52:130;0;-78;0;0;-77;0;-0,053;0,005;-0,007;
14:10:52:282;0;0;-76;0;0;-77;-0,053;0,012;-0,008;
14:10:52:439;0;-78;0;0;-77;0;-0,050;0,011;-0,008;
14:10:52:594;0;0;-77;0;0;-77;-0,056;0,010;-0,007;
14:10:52:750;0;-78;0;0;-77;0;-0,050;0,010;-0,009;
14:10:52:905;0;0;-76;0;0;-76;-0,050;0,010;-0,008;
14:10:53:060;0;-82;0;0;-77;0;-0,053;0,008;-0,007;
14:10:53:215;0;0;-78;0;0;-77;-0,057;0,009;-0,008;
14:10:53:370;0;-81;0;0;-77;0;-0,058;0,014;-0,010;
14:10:53:525;0;0;-80;0;0;-77;-0,053;0,007;-0,006;
14:10:53:679;0;-82;0;0;-78;0;-0,052;0,012;-0,005;
14:10:54:317;0;-78;0;0;-78;0;-0,025;0,034;0,011;
14:10:54:455;0;0;-70;0;0;-76;-0,044;-0,007;-0,083;
14:10:55:087;0;0;-65;0;0;-76;0,091;0,001;-0,017;
14:10:55:229;0;-66;0;0;-77;0;0,118;0,006;-0,020;
14:10:55:385;0;0;-65;0;0;-75;0,126;0,021;-0,014;
14:10:55:539;0;-65;0;0;-76;0;0,128;0,004;-0,004;
14:10:55:694;0;0;-65;0;0;-75;0,126;0,012;-0,011;
14:10:55:849;0;-65;0;0;-76;0;0,120;0,015;-0,017;
14:10:56:007;0;0;-65;0;0;-74;0,124;0,003;-0,014;
14:10:56:159;0;-65;0;0;-75;0;0,130;0,008;-0,018;
14:10:56:314;0;0;-65;0;0;-73;0,128;0,013;-0,017;
14:10:56:469;0;-65;0;0;-75;0;0,134;0,006;-0,010;
14:10:56:624;0;0;-65;0;0;-73;0,139;0,012;-0,011;
14:10:56:779;0;-66;0;0;-74;0;0,135;0,014;-0,012;
14:10:56:932;0;0;-65;0;0;-72;0,133;0,002;-0,011;
14:10:57:425;0;-65;0;0;-73;0;0,120;0,000;-0,013;
14:10:57:554;0;0;-65;0;0;-71;0,125;0,012;-0,015;
14:10:57:710;0;-65;0;0;-73;0;0,126;0,010;-0,011;
14:10:57:864;0;0;-65;0;0;-71;0,131;0,006;-0,008;
14:10:58:019;0;-65;0;0;-72;0;0,134;0,012;-0,013;
14:10:58:174;0;0;-65;0;0;-70;0,133;0,008;-0,012;
