TIMESTAMP;RSSI NO ANTENNA;RSSI ANTENNA PCB;RSSI ANTENNA 3D;AVERAGE NO;AVERAGE PCB;AVERAGE 3D;ORIENTATION_X;ORIENTATION_Y;ORIENTATION_Z;
15:31:37:947;0;0;-58;0;0;-58;0,214;0,049;0,001;
15:31:38:583;0;0;-58;0;0;-58;0,291;0,049;0,002;
15:31:38:722;0;-59;0;0;-58;0;0,301;0,050;0,001;
15:31:38:877;0;0;-59;0;0;-58;0,299;0,048;0,002;
15:31:39:036;0;-58;0;0;-58;0;0,289;0,049;0,001;
15:31:39:187;0;0;-57;0;0;-58;0,247;0,050;0,000;
15:31:39:342;0;-58;0;0;-58;0;0,215;0,049;0,002;
15:31:39:497;0;0;-59;0;0;-58;0,233;0,050;0,001;
15:31:39:652;0;-58;0;0;-58;0;0,225;0,048;0,002;
15:31:39:963;0;-59;0;0;-58;0;0,212;0,051;0,001;
15:31:40:273;0;-58;0;0;-58;0;0,187;0,052;0,000;
15:31:40:908;0;-58;0;0;-58;0;0,339;0,049;0,000;
15:31:41:047;0;0;-59;0;0;-58;0,248;0,050;0,001;
15:31:41:202;0;-59;0;0;-58;0;0,268;0,047;0,002;
15:31:41:357;0;0;-57;0;0;-58;0,290;0,050;0,001;
15:31:41:513;0;-58;0;0;-57;0;0,335;0,033;0,030;
15:31:41:667;0;0;-57;0;0;-58;0,240;0,063;0,006;
15:31:41:825;0;-58;0;0;-57;0;0,316;0,091;0,042;
15:31:42:132;0;-60;0;0;-57;0;0,185;-0,009;-0,018;
15:31:42:287;0;0;-60;0;0;-58;0,362;0,014;-0,096;
15:31:42:598;0;0;-60;0;0;-58;0,953;0,057;-0,013;
15:31:43:075;0;-61;0;0;-58;0;1,187;0,056;-0,020;
15:31:43:220;0;0;-64;0;0;-58;1,238;0,059;-0,020;
15:31:43:842;0;0;-61;0;0;-58;1,191;0,053;-0,021;
15:31:43:992;0;-60;0;0;-58;0;1,214;0,056;-0,023;
15:31:44:302;0;-62;0;0;-58;0;1,223;0,055;-0,022;
15:31:44:457;0;0;-62;0;0;-58;1,224;0,055;-0,022;
15:31:44:612;0;-62;0;0;-58;0;1,226;0,056;-0,022;
15:31:44:767;0;0;-62;0;0;-58;1,215;0,055;-0,022;
15:31:44:922;0;-62;0;0;-59;0;1,203;0,052;-0,023;
15:31:45:079;0;0;-62;0;0;-59;1,210;0,053;-0,023;
15:31:45:232;0;-62;0;0;-59;0;1,197;0,055;-0,026;
15:31:45:388;0;0;-62;0;0;-59;1,209;0,054;-0,023;
15:31:45:543;0;-62;0;0;-59;0;1,217;0,052;-0,022;
15:31:45:697;0;0;-62;0;0;-59;1,232;0,054;-0,023;
15:31:46:172;0;-61;0;0;-59;0;1,218;0,055;-0,022;
15:31:46:656;0;0;-61;0;0;-59;1,230;0,055;-0,023;
15:31:46:782;0;-62;0;0;-59;0;1,256;0,056;-0,023;
15:31:46:937;0;0;-61;0;0;-59;1,251;0,055;-0,021;
15:31:47:092;0;-61;0;0;-59;0;1,255;0,055;-0,022;
15:31:47:246;0;0;-62;0;0;-60;1,264;0,054;-0,024;
15:31:47:405;0;-61;0;0;-60;0;1,227;0,055;-0,023;
15:31:47:713;0;-61;0;0;-60;0;1,238;0,053;-0,022;
15:31:47:867;0;0;-61;0;0;-60;1,221;0,056;-0,024;
15:31:48:797;0;0;-62;0;0;-60;1,244;0,055;-0,022;
15:31:48:952;0;-61;0;0;-60;0;1,245;0,054;-0,023;
15:31:49:107;0;0;-61;0;0;-60;1,218;0,055;-0,022;
15:31:49:262;0;-61;0;0;-60;0;1,225;0,054;-0,023;
15:31:49:417;0;0;-62;0;0;-60;1,236;0,053;-0,023;
15:31:49:571;0;-61;0;0;-60;0;1,229;0,055;-0,023;
15:31:49:726;0;0;-61;0;0;-60;1,222;0,053;-0,024;
15:31:49:881;0;-61;0;0;-60;0;1,242;0,055;-0,022;
15:31:50:036;0;0;-61;0;0;-61;1,228;0,055;-0,022;
15:31:50:191;0;-61;0;0;-60;0;1,226;0,055;-0,024;
15:31:50:348;0;0;-61;0;0;-61;1,216;0,056;-0,023;
15:31:50:503;0;-61;0;0;-61;0;1,210;0,054;-0,024;
15:31:51:135;0;-61;0;0;-61;0;1,196;0,053;-0,021;
15:31:51:277;0;0;-62;0;0;-61;1,215;0,053;-0,023;
15:31:51:432;0;-61;0;0;-61;0;1,218;0,054;-0,023;
15:31:51:586;0;0;-62;0;0;-61;1,231;0,057;-0,022;
15:31:51:738;0;-60;0;0;-61;0;1,317;0,054;-0,025;
15:31:51:899;0;0;-45;0;0;-60;1,360;0,057;-0,025;
15:31:52:052;0;-45;0;0;-60;0;1,413;0,055;-0,021;
15:31:52:210;0;0;-46;0;0;-59;1,449;0,053;-0,023;
15:31:52:361;0;-45;0;0;-59;0;1,413;0,054;-0,023;
15:31:52:517;0;0;-46;0;0;-59;1,405;0,055;-0,022;
15:31:53:002;0;-60;0;0;-59;0;1,312;0,056;-0,022;
15:31:53:913;0;-60;0;0;-59;0;1,232;0,054;-0,024;
15:31:54:067;0;0;-62;0;0;-59;1,266;0,056;-0,023;
15:31:54:222;0;-66;0;0;-59;0;1,213;0,054;-0,025;
