RSSI LEFT_ORIGIN,RSSI MIDDLE_ORIGIN,RSSI RIGHT_ORIGIN,RSSI TRUNK_ORIGIN,RSSI FRONTLEFT_ORIGIN,RSSI FRONTRIGHT_ORIGIN,RSSI REARLEFT_ORIGIN,RSSI REARRIGHT_ORIGIN,class
-82,-78,-81,-78,-81,-72,-88,-96,front
-71,-75,-71,-55,-86,-93,-65,-68,trunk
-84,-87,-67,-77,-87,-74,-94,-81,right
-68,-61,-72,-62,-84,-84,-76,-86,start
-87,-92,-94,-77,-92,-92,-69,-74,lock
-75,-88,-83,-88,-63,-81,-87,-93,front
-84,-90,-88,-95,-74,-74,-87,-91,lock
-47,-66,-78,-62,-82,-82,-75,-80,start
-73,-64,-67,-46,-89,-88,-66,-71,trunk
-77,-79,-81,-63,-84,-89,-78,-62,back
-66,-81,-87,-72,-77,-99,-67,-83,left
-73,-64,-66,-59,-87,-81,-81,-74,start
-91,-83,-94,-78,-83,-92,-73,-76,lock
-78,-90,-90,-84,-72,-75,-79,-89,front
-79,-85,-85,-63,-81,-101,-64,-74,back
-77,-81,-84,-68,-87,-88,-68,-62,back
-65,-62,-65,-64,-80,-78,-78,-89,start
-66,-57,-62,-54,-79,-86,-77,-71,start
-73,-64,-72,-68,-82,-89,-81,-87,start
-80,-83,-89,-86,-65,-78,-83,-88,front
-66,-66,-66,-45,-85,-85,-72,-71,trunk
-71,-58,-74,-64,-81,-84,-82,-81,start
-67,-63,-70,-47,-86,-95,-71,-72,trunk
-71,-87,-85,-88,-74,-97,-81,-85,lock
-80,-81,-67,-81,-87,-92,-84,-67,right
-88,-82,-90,-73,-73,-72,-88,-87,front
-88,-86,-80,-77,-89,-84,-74,-74,lock
-79,-51,-72,-65,-84,-80,-88,-83,start
-82,-85,-83,-79,-70,-64,-90,-86,front
-78,-91,-90,-81,-76,-90,-87,-90,lock
-82,-80,-90,-90,-72,-73,-89,-93,front
-74,-65,-70,-65,-77,-83,-91,-80,start
-81,-83,-73,-91,-86,-69,-84,-78,lock
-61,-60,-78,-67,-82,-88,-82,-80,start
-73,-67,-63,-73,-84,-74,-85,-89,right
-80,-87,-90,-89,-68,-83,-83,-94,lock
-76,-82,-93,-73,-84,-92,-64,-73,back
-74,-63,-64,-60,-81,-84,-83,-76,start
-58,-63,-73,-69,-80,-92,-83,-81,start
-90,-91,-87,-90,-77,-80,-87,-90,lock
-75,-73,-78,-61,-84,-92,-70,-69,back
-83,-80,-91,-88,-72,-76,-92,-93,front
-53,-59,-75,-68,-86,-90,-85,-77,start
-68,-67,-83,-71,-83,-93,-93,-86,start
-86,-85,-92,-84,-71,-72,-88,-96,front
-77,-80,-81,-65,-85,-85,-79,-67,back
-70,-80,-81,-72,-73,-96,-82,-84,left
-83,-80,-70,-86,-91,-74,-92,-79,right
-83,-79,-86,-80,-76,-70,-89,-88,front
-71,-74,-82,-73,-77,-96,-77,-85,left
-73,-60,-83,-69,-86,-86,-79,-88,start
-69,-62,-71,-48,-83,-92,-63,-65,trunk
-77,-83,-81,-81,-66,-82,-86,-93,front
-81,-81,-83,-85,-67,-88,-84,-94,front
-71,-59,-76,-73,-83,-82,-82,-87,start
-86,-87,-87,-81,-72,-72,-92,-87,front
-85,-90,-92,-87,-89,-94,-72,-76,lock
-72,-58,-74,-60,-85,-82,-78,-83,start
-70,-65,-75,-39,-90,-87,-73,-69,trunk
-84,-88,-83,-81,-74,-63,-89,-80,front
-72,-66,-70,-46,-86,-90,-69,-69,trunk
-71,-72,-72,-63,-85,-94,-71,-76,back
-66,-64,-63,-63,-88,-86,-91,-74,start
-82,-90,-90,-78,-86,-88,-69,-66,lock
-75,-82,-87,-81,-61,-70,-92,-94,front
-69,-62,-67,-62,-78,-81,-85,-83,start
-74,-87,-86,-78,-65,-77,-88,-94,front
-57,-71,-90,-74,-80,-95,-77,-82,left
-74,-83,-89,-74,-75,-94,-74,-90,lock
-66,-64,-71,-43,-82,-91,-73,-66,trunk
-74,-91,-86,-76,-77,-97,-75,-88,lock
-68,-57,-67,-71,-81,-81,-78,-84,start
-85,-85,-77,-74,-88,-87,-72,-63,back
-60,-75,-72,-72,-81,-95,-69,-80,left
-61,-82,-81,-76,-76,-94,-72,-86,left
-71,-60,-70,-44,-85,-89,-71,-63,trunk
-66,-51,-70,-70,-79,-83,-77,-84,start
-65,-72,-72,-46,-89,-93,-64,-68,trunk
-71,-67,-75,-45,-89,-89,-70,-68,trunk
-67,-57,-73,-72,-75,-92,-77,-81,start
-73,-56,-76,-72,-96,-88,-89,-87,start
-80,-86,-93,-79,-72,-72,-87,-88,front
-69,-66,-67,-36,-81,-93,-70,-69,trunk
-72,-65,-76,-72,-88,-87,-85,-88,start
-75,-83,-90,-80,-88,-93,-68,-70,back
-86,-76,-74,-76,-88,-64,-88,-81,right
-66,-81,-83,-78,-75,-92,-74,-92,left
-73,-81,-80,-72,-85,-96,-64,-69,back
-84,-80,-82,-72,-89,-87,-73,-63,back
-81,-88,-86,-72,-91,-90,-72,-63,back
-81,-84,-80,-68,-81,-92,-69,-60,back
