access,internal,lock,Max Prob,Prediction,Reference
0.37,0.60,0.03,0.60,internal,internal
0.95,0.00,0.05,0.95,access,access
0.92,0.00,0.08,0.92,access,access
0.95,0.00,0.05,0.95,access,access
0.49,0.00,0.51,0.51,lock,lock
0.90,0.00,0.10,0.90,access,access
0.64,0.34,0.02,0.64,access,access
0.83,0.00,0.17,0.83,access,access
0.30,0.00,0.70,0.70,lock,lock
0.90,0.00,0.10,0.90,access,access
0.12,0.00,0.88,0.88,lock,lock
0.00,1.00,0.00,1.00,internal,internal
0.28,0.00,0.72,0.72,lock,lock
0.85,0.03,0.12,0.85,access,access
0.86,0.14,0.00,0.86,access,access
0.63,0.36,0.01,0.63,access,access
0.81,0.00,0.19,0.81,access,access
0.23,0.00,0.77,0.77,lock,lock
0.22,0.00,0.78,0.78,lock,lock
0.00,1.00,0.00,1.00,internal,internal
0.96,0.00,0.04,0.96,access,access
0.90,0.01,0.09,0.90,access,access
0.81,0.00,0.19,0.81,access,access
0.86,0.14,0.00,0.86,access,access
0.35,0.00,0.65,0.65,lock,lock
0.52,0.00,0.48,0.52,access,access
0.97,0.00,0.03,0.97,access,access
0.16,0.00,0.84,0.84,lock,lock
0.02,0.98,0.00,0.98,internal,internal
0.71,0.00,0.29,0.71,access,access
0.80,0.20,0.00,0.80,access,access
0.49,0.00,0.51,0.51,lock,access
0.22,0.00,0.78,0.78,lock,lock
0.16,0.00,0.84,0.84,lock,lock
0.80,0.02,0.18,0.80,access,access
0.76,0.01,0.23,0.76,access,lock
0.88,0.01,0.11,0.88,access,access
0.01,0.99,0.00,0.99,internal,internal
0.06,0.00,0.94,0.94,lock,lock
0.20,0.00,0.80,0.80,lock,lock
0.60,0.00,0.40,0.60,access,lock
0.00,1.00,0.00,1.00,internal,internal
0.64,0.00,0.36,0.64,access,access
0.49,0.00,0.51,0.51,lock,access
0.00,1.00,0.00,1.00,internal,internal
0.89,0.00,0.11,0.89,access,access
0.11,0.00,0.89,0.89,lock,lock
0.70,0.00,0.30,0.70,access,access
0.00,1.00,0.00,1.00,internal,internal
0.01,0.99,0.00,0.99,internal,internal
0.81,0.02,0.17,0.81,access,access
0.16,0.00,0.84,0.84,lock,lock
0.94,0.04,0.02,0.94,access,access
0.05,0.00,0.95,0.95,lock,lock
0.56,0.00,0.44,0.56,access,lock
0.86,0.14,0.00,0.86,access,access
0.71,0.29,0.00,0.71,access,internal
0.58,0.00,0.42,0.58,access,access
0.22,0.00,0.78,0.78,lock,lock
0.48,0.00,0.52,0.52,lock,lock
0.11,0.00,0.89,0.89,lock,lock
0.60,0.00,0.40,0.60,access,access
0.02,0.98,0.00,0.98,internal,internal
0.97,0.01,0.02,0.97,access,access
0.88,0.12,0.00,0.88,access,access
0.57,0.43,0.00,0.57,access,access
0.76,0.00,0.24,0.76,access,access
0.00,1.00,0.00,1.00,internal,internal
0.90,0.00,0.10,0.90,access,access
0.21,0.00,0.79,0.79,lock,lock
0.02,0.98,0.00,0.98,internal,internal
0.96,0.00,0.04,0.96,access,access
0.99,0.01,0.00,0.99,access,access
0.45,0.00,0.55,0.55,lock,access
0.63,0.00,0.37,0.63,access,access
0.39,0.00,0.61,0.61,lock,lock
0.27,0.00,0.73,0.73,lock,lock
0.97,0.00,0.03,0.97,access,access
0.99,0.01,0.00,0.99,access,access
0.98,0.00,0.02,0.98,access,access
0.95,0.05,0.00,0.95,access,access
0.69,0.03,0.28,0.69,access,access
0.97,0.00,0.03,0.97,access,access
0.00,1.00,0.00,1.00,internal,internal
0.67,0.00,0.33,0.67,access,access
0.01,0.99,0.00,0.99,internal,internal
0.00,1.00,0.00,1.00,internal,internal
0.28,0.00,0.72,0.72,lock,lock
0.55,0.00,0.45,0.55,access,access
0.11,0.00,0.89,0.89,lock,lock
0.93,0.07,0.00,0.93,access,access
0.83,0.00,0.17,0.83,access,access
0.89,0.00,0.11,0.89,access,access
0.42,0.00,0.58,0.58,lock,lock
0.94,0.00,0.06,0.94,access,access
0.64,0.00,0.36,0.64,access,access
0.05,0.94,0.01,0.94,internal,internal
0.00,1.00,0.00,1.00,internal,internal
0.20,0.00,0.80,0.80,lock,lock
0.28,0.02,0.70,0.70,lock,access
0.92,0.00,0.08,0.92,access,access
0.93,0.00,0.07,0.93,access,access
0.28,0.72,0.00,0.72,internal,internal
0.27,0.00,0.73,0.73,lock,lock
0.98,0.02,0.00,0.98,access,access
0.01,0.99,0.00,0.99,internal,internal
0.31,0.00,0.69,0.69,lock,access
0.01,0.99,0.00,0.99,internal,internal
0.10,0.89,0.01,0.89,internal,internal
0.85,0.00,0.15,0.85,access,access
0.68,0.00,0.32,0.68,access,access
0.76,0.04,0.20,0.76,access,access
0.76,0.00,0.24,0.76,access,access
0.19,0.00,0.81,0.81,lock,lock
0.43,0.01,0.56,0.56,lock,access
0.96,0.00,0.04,0.96,access,access
0.85,0.00,0.15,0.85,access,access
0.03,0.97,0.00,0.97,internal,internal
0.75,0.08,0.17,0.75,access,internal
0.91,0.00,0.09,0.91,access,access
0.41,0.00,0.59,0.59,lock,lock
0.13,0.00,0.87,0.87,lock,lock
0.65,0.00,0.35,0.65,access,access
0.52,0.48,0.00,0.52,access,access
0.30,0.00,0.70,0.70,lock,access
0.00,1.00,0.00,1.00,internal,internal
0.50,0.50,0.00,0.50,access,access
0.07,0.92,0.01,0.92,internal,internal
0.00,1.00,0.00,1.00,internal,internal
0.38,0.60,0.02,0.60,internal,internal
0.10,0.00,0.90,0.90,lock,lock
0.00,1.00,0.00,1.00,internal,internal
0.47,0.00,0.53,0.53,lock,lock
0.90,0.00,0.10,0.90,access,access
0.00,1.00,0.00,1.00,internal,internal
0.27,0.73,0.00,0.73,internal,internal
0.22,0.00,0.78,0.78,lock,lock
0.17,0.00,0.83,0.83,lock,access
0.79,0.00,0.21,0.79,access,access
0.28,0.00,0.72,0.72,lock,lock
0.11,0.00,0.89,0.89,lock,lock
0.92,0.00,0.08,0.92,access,access
0.95,0.00,0.05,0.95,access,access
0.97,0.01,0.02,0.97,access,lock
0.37,0.00,0.63,0.63,lock,access
0.94,0.01,0.05,0.94,access,access
0.76,0.00,0.24,0.76,access,lock
0.85,0.01,0.14,0.85,access,access
0.20,0.00,0.80,0.80,lock,lock
0.96,0.00,0.04,0.96,access,access
0.00,1.00,0.00,1.00,internal,internal
0.10,0.00,0.90,0.90,lock,lock
0.87,0.00,0.13,0.87,access,access
0.00,1.00,0.00,1.00,internal,internal
0.24,0.76,0.00,0.76,internal,internal
0.00,1.00,0.00,1.00,internal,internal
0.72,0.00,0.28,0.72,access,access
0.49,0.00,0.51,0.51,lock,lock
0.34,0.00,0.66,0.66,lock,lock
0.01,0.99,0.00,0.99,internal,internal
0.24,0.00,0.76,0.76,lock,lock
0.00,1.00,0.00,1.00,internal,internal
0.75,0.00,0.25,0.75,access,access
0.00,1.00,0.00,1.00,internal,internal
0.00,1.00,0.00,1.00,internal,internal
0.92,0.00,0.08,0.92,access,access
0.17,0.00,0.83,0.83,lock,access
0.71,0.00,0.29,0.71,access,access
0.78,0.01,0.21,0.78,access,access
0.91,0.00,0.09,0.91,access,access
0.00,1.00,0.00,1.00,internal,internal
0.50,0.00,0.50,0.50,access,access
0.99,0.00,0.01,0.99,access,access
0.16,0.84,0.00,0.84,internal,internal
0.73,0.00,0.27,0.73,access,access
0.37,0.00,0.63,0.63,lock,access
0.00,1.00,0.00,1.00,internal,internal
0.86,0.00,0.14,0.86,access,access
0.80,0.15,0.05,0.80,access,access
0.91,0.00,0.09,0.91,access,access
1.00,0.00,0.00,1.00,access,access
0.98,0.00,0.02,0.98,access,access
0.00,1.00,0.00,1.00,internal,internal
0.02,0.98,0.00,0.98,internal,internal
0.02,0.98,0.00,0.98,internal,internal
0.65,0.00,0.35,0.65,access,lock
0.00,1.00,0.00,1.00,internal,internal
0.08,0.92,0.00,0.92,internal,internal
0.98,0.00,0.02,0.98,access,access
0.81,0.00,0.19,0.81,access,lock
0.99,0.00,0.01,0.99,access,access
0.66,0.00,0.34,0.66,access,access
0.60,0.00,0.40,0.60,access,access
0.11,0.00,0.89,0.89,lock,lock
0.64,0.00,0.36,0.64,access,lock
0.91,0.00,0.09,0.91,access,access
0.87,0.00,0.13,0.87,access,access
0.01,0.99,0.00,0.99,internal,internal
0.03,0.97,0.00,0.97,internal,internal
0.15,0.83,0.02,0.83,internal,internal
0.63,0.01,0.36,0.63,access,access
0.98,0.00,0.02,0.98,access,access
0.80,0.02,0.18,0.80,access,access
0.37,0.60,0.03,0.60,internal,internal
0.11,0.00,0.89,0.89,lock,lock
0.86,0.00,0.14,0.86,access,access
0.99,0.00,0.01,0.99,access,access
0.83,0.12,0.05,0.83,access,access
0.78,0.03,0.19,0.78,access,access
0.14,0.86,0.00,0.86,internal,internal
0.92,0.00,0.08,0.92,access,access
0.92,0.00,0.08,0.92,access,access
0.66,0.03,0.31,0.66,access,access
0.94,0.00,0.06,0.94,access,lock
0.89,0.05,0.06,0.89,access,access
0.05,0.00,0.95,0.95,lock,lock
0.94,0.00,0.06,0.94,access,access
0.89,0.00,0.11,0.89,access,access
0.85,0.01,0.14,0.85,access,access
0.94,0.00,0.06,0.94,access,access
0.06,0.00,0.94,0.94,lock,lock
0.00,1.00,0.00,1.00,internal,internal
0.39,0.00,0.61,0.61,lock,lock
0.00,1.00,0.00,1.00,internal,internal
0.53,0.02,0.45,0.53,access,access
0.73,0.00,0.27,0.73,access,access
0.19,0.80,0.01,0.80,internal,internal
0.95,0.00,0.05,0.95,access,access
0.00,1.00,0.00,1.00,internal,internal
0.84,0.00,0.16,0.84,access,access
0.09,0.00,0.91,0.91,lock,lock
0.74,0.00,0.26,0.74,access,access
0.73,0.27,0.00,0.73,access,access
0.98,0.02,0.00,0.98,access,access
0.95,0.00,0.05,0.95,access,access
0.21,0.00,0.79,0.79,lock,lock
0.00,1.00,0.00,1.00,internal,internal
0.40,0.00,0.60,0.60,lock,lock
0.58,0.00,0.42,0.58,access,access
0.27,0.00,0.73,0.73,lock,lock
0.92,0.00,0.08,0.92,access,access
0.09,0.00,0.91,0.91,lock,lock
0.00,1.00,0.00,1.00,internal,internal
0.60,0.00,0.40,0.60,access,access
0.82,0.00,0.18,0.82,access,access
0.00,1.00,0.00,1.00,internal,internal
0.01,0.99,0.00,0.99,internal,internal
0.98,0.02,0.00,0.98,access,access
0.93,0.00,0.07,0.93,access,access
0.65,0.00,0.35,0.65,access,lock
0.11,0.00,0.89,0.89,lock,lock
0.97,0.00,0.03,0.97,access,access
0.83,0.00,0.17,0.83,access,access
0.18,0.00,0.82,0.82,lock,lock
0.67,0.00,0.33,0.67,access,access
0.92,0.04,0.04,0.92,access,access
0.96,0.00,0.04,0.96,access,access
0.81,0.03,0.16,0.81,access,access
0.02,0.98,0.00,0.98,internal,internal
0.99,0.01,0.00,0.99,access,access
0.07,0.93,0.00,0.93,internal,internal
0.95,0.00,0.05,0.95,access,access
0.71,0.00,0.29,0.71,access,access
0.76,0.06,0.18,0.76,access,internal
0.75,0.01,0.24,0.75,access,access
0.94,0.01,0.05,0.94,access,access
0.00,1.00,0.00,1.00,internal,internal
0.25,0.00,0.75,0.75,lock,lock
0.76,0.00,0.24,0.76,access,access
0.94,0.00,0.06,0.94,access,access
0.60,0.00,0.40,0.60,access,lock
0.95,0.00,0.05,0.95,access,access
0.90,0.00,0.10,0.90,access,access
0.54,0.45,0.01,0.54,access,internal
0.02,0.98,0.00,0.98,internal,internal
0.25,0.00,0.75,0.75,lock,lock
0.79,0.00,0.21,0.79,access,access
0.06,0.94,0.00,0.94,internal,internal
0.94,0.00,0.06,0.94,access,access
0.66,0.00,0.34,0.66,access,access
0.00,1.00,0.00,1.00,internal,internal
0.78,0.00,0.22,0.78,access,access
0.00,1.00,0.00,1.00,internal,internal
0.69,0.01,0.30,0.69,access,lock
0.71,0.00,0.29,0.71,access,access
0.18,0.00,0.82,0.82,lock,lock
0.94,0.00,0.06,0.94,access,access
0.54,0.00,0.46,0.54,access,access
0.17,0.00,0.83,0.83,lock,lock
0.81,0.00,0.19,0.81,access,access
0.87,0.00,0.13,0.87,access,access
0.75,0.00,0.25,0.75,access,access
0.00,1.00,0.00,1.00,internal,internal
0.42,0.00,0.58,0.58,lock,lock
0.69,0.00,0.31,0.69,access,access
0.07,0.00,0.93,0.93,lock,lock
1.00,0.00,0.00,1.00,access,access
0.92,0.00,0.08,0.92,access,access
0.42,0.01,0.57,0.57,lock,lock
0.00,1.00,0.00,1.00,internal,internal
0.50,0.00,0.50,0.50,access,lock
0.31,0.00,0.69,0.69,lock,lock
0.01,0.99,0.00,0.99,internal,internal
0.89,0.00,0.11,0.89,access,access
