RSSI LEFT_ORIGIN,RSSI MIDDLE_ORIGIN,RSSI RIGHT_ORIGIN,RSSI TRUNK_ORIGIN,RSSI FRONTLEFT_ORIGIN,RSSI FRONTRIGHT_ORIGIN,RSSI REARLEFT_ORIGIN,RSSI REARRIGHT_ORIGIN,class
-77,-78,-86,-72,-85,-92,-58,-80,back
-69,-45,-78,-66,-83,-86,-84,-89,start
-71,-68,-71,-43,-81,-91,-80,-63,trunk
-58,-58,-62,-53,-76,-87,-72,-82,start
-83,-78,-74,-84,-86,-70,-78,-76,lock
-71,-58,-66,-68,-84,-85,-83,-79,start
-69,-62,-78,-62,-83,-87,-89,-88,start
-84,-88,-87,-80,-80,-74,-90,-85,lock
-63,-81,-79,-72,-77,-94,-79,-88,left
-69,-66,-72,-65,-80,-86,-83,-89,start
-82,-85,-93,-85,-72,-74,-90,-89,lock
-81,-80,-72,-71,-90,-86,-72,-70,back
-83,-86,-85,-77,-92,-91,-69,-61,back
-69,-58,-63,-68,-81,-83,-81,-80,start
-71,-79,-90,-74,-68,-91,-79,-85,left
-72,-46,-71,-65,-83,-84,-87,-83,start
-71,-82,-91,-72,-76,-92,-72,-85,lock
-76,-89,-91,-90,-68,-82,-86,-93,lock
-76,-63,-68,-65,-86,-86,-79,-84,start
-71,-81,-85,-74,-72,-91,-74,-89,lock
-72,-82,-87,-72,-84,-92,-71,-84,lock
-61,-58,-62,-53,-76,-86,-74,-81,start
-63,-69,-77,-69,-80,-92,-67,-83,left
-57,-75,-82,-68,-86,-96,-65,-89,left
-68,-66,-72,-43,-86,-85,-66,-78,trunk
-93,-75,-71,-87,-85,-76,-87,-93,right
-85,-80,-71,-81,-89,-69,-92,-75,right
-78,-84,-80,-74,-81,-88,-67,-62,back
-70,-67,-51,-62,-89,-77,-76,-81,start
-75,-66,-60,-72,-77,-82,-83,-84,right
-79,-71,-86,-76,-92,-69,-95,-88,right
-79,-77,-93,-84,-75,-77,-76,-89,front
-89,-81,-79,-77,-78,-70,-92,-87,front
-71,-68,-67,-50,-86,-89,-63,-68,trunk
-75,-81,-83,-74,-80,-98,-61,-74,back
-89,-73,-77,-77,-85,-77,-85,-69,right
-78,-83,-87,-73,-83,-93,-65,-74,back
-74,-86,-88,-84,-70,-82,-81,-93,lock
-70,-59,-74,-69,-86,-86,-82,-82,start
-92,-76,-69,-82,-87,-71,-91,-88,right
-76,-83,-79,-71,-78,-97,-76,-81,left
-85,-91,-88,-82,-77,-75,-92,-87,lock
-73,-60,-62,-57,-76,-82,-87,-79,start
-84,-77,-85,-90,-79,-57,-89,-88,right
-67,-77,-88,-72,-74,-96,-73,-83,left
-67,-54,-60,-58,-88,-82,-73,-79,start
-78,-78,-76,-64,-88,-88,-63,-66,back
-69,-81,-85,-77,-78,-94,-72,-88,left
-68,-79,-84,-80,-77,-92,-77,-79,left
-71,-85,-87,-77,-72,-89,-74,-92,lock
-65,-66,-65,-45,-85,-87,-73,-72,trunk
-67,-53,-68,-58,-81,-84,-76,-82,start
-74,-88,-91,-79,-67,-82,-82,-92,lock
-70,-72,-71,-46,-88,-88,-70,-66,trunk
-69,-60,-71,-42,-86,-93,-70,-65,trunk
-76,-72,-75,-63,-86,-93,-74,-74,back
-85,-84,-81,-81,-79,-67,-87,-87,front
-78,-85,-89,-81,-70,-84,-81,-82,lock
-89,-77,-72,-74,-88,-65,-89,-78,right
-95,-80,-78,-83,-84,-57,-91,-85,right
-67,-77,-80,-73,-76,-94,-73,-83,left
-73,-71,-52,-71,-84,-78,-90,-88,right
-72,-79,-80,-79,-75,-94,-83,-88,left
-75,-74,-75,-64,-82,-88,-62,-75,back
-67,-63,-66,-41,-79,-93,-68,-65,trunk
-77,-82,-91,-74,-85,-93,-64,-72,back
-74,-59,-79,-71,-85,-83,-84,-83,start
