RSSI LEFT_ORIGIN;RSSI MIDDLE_ORIGIN;RSSI RIGHT_ORIGIN;RSSI TRUNK_ORIGIN;RSSI FRONTLEFT_ORIGIN;RSSI FRONTRIGHT_ORIGIN;RSSI REARLEFT_ORIGIN;RSSI REARRIGHT_ORIGIN;COUNTER FLAG
-82;-86;-84;-87;-65;-88;-60;-76;2
-81;-85;-84;-88;-65;-88;-60;-76;2
-82;-85;-83;-87;-64;-90;-60;-76;2
-82;-85;-81;-87;-64;-90;-60;-74;2
-81;-85;-83;-87;-65;-88;-60;-74;2
-82;-86;-81;-87;-65;-87;-60;-78;2
-82;-86;-81;-87;-65;-87;-60;-78;2
-82;-86;-81;-87;-65;-87;-60;-78;2
-82;-86;-82;-87;-65;-84;-62;-76;2
-81;-87;-83;-84;-64;-84;-63;-79;2
-81;-87;-82;-84;-64;-84;-64;-79;2
-81;-87;-82;-84;-64;-83;-64;-79;2
-80;-87;-82;-84;-63;-82;-64;-79;2
-81;-87;-81;-85;-64;-81;-63;-79;2
-79;-87;-80;-84;-64;-80;-63;-76;2
-80;-87;-80;-84;-64;-81;-62;-75;2
-80;-86;-80;-85;-64;-81;-61;-75;2
-80;-87;-78;-85;-64;-81;-61;-75;2
-80;-87;-78;-85;-64;-81;-61;-75;2
-80;-87;-78;-85;-64;-81;-61;-75;2
-81;-85;-79;-84;-64;-81;-60;-76;2
-81;-85;-79;-84;-64;-84;-60;-76;2
-81;-85;-79;-85;-64;-84;-60;-77;2
-81;-85;-79;-86;-64;-85;-60;-77;2
-81;-85;-80;-88;-63;-86;-60;-77;2
-81;-85;-80;-88;-64;-86;-60;-75;2
-81;-84;-80;-89;-63;-90;-59;-77;2
-81;-84;-81;-89;-63;-90;-57;-77;2
-83;-85;-82;-89;-63;-89;-59;-76;2
-83;-85;-83;-88;-63;-88;-59;-76;2
-84;-85;-83;-88;-63;-88;-59;-75;2
-86;-85;-82;-87;-63;-84;-59;-76;2
-85;-85;-83;-87;-62;-85;-59;-75;2
-85;-84;-83;-86;-62;-85;-61;-75;2
-85;-84;-84;-87;-62;-85;-61;-75;2
-85;-85;-83;-88;-63;-85;-60;-75;2
-85;-85;-84;-87;-63;-83;-60;-75;2
-84;-85;-84;-87;-63;-83;-58;-75;2
-85;-84;-84;-87;-62;-87;-59;-74;2
-85;-85;-84;-88;-62;-87;-58;-74;2
-85;-84;-86;-89;-62;-88;-58;-74;2
-86;-85;-85;-88;-62;-85;-58;-75;2
-85;-86;-85;-88;-62;-85;-59;-74;2
-85;-86;-84;-88;-62;-85;-59;-74;2
-85;-86;-84;-88;-62;-85;-59;-74;2
-84;-86;-83;-84;-61;-85;-61;-79;2
-85;-85;-81;-84;-62;-85;-63;-79;2
-85;-85;-82;-85;-62;-85;-64;-79;2
-83;-86;-81;-85;-62;-87;-64;-79;2
-83;-85;-80;-85;-62;-87;-63;-79;2
-85;-85;-80;-83;-62;-87;-63;-78;2
-85;-85;-81;-83;-62;-87;-63;-76;2
-85;-86;-82;-83;-62;-85;-63;-77;2
-86;-86;-82;-83;-62;-85;-59;-75;2
-87;-85;-83;-83;-62;-85;-61;-75;2
-87;-85;-83;-83;-62;-85;-61;-75;2
-87;-85;-83;-83;-62;-85;-61;-75;2
-88;-86;-84;-85;-61;-82;-62;-75;2
-89;-86;-84;-86;-62;-81;-62;-75;2
-89;-84;-84;-85;-62;-81;-61;-75;2
-89;-85;-84;-86;-61;-81;-61;-74;2
-86;-85;-83;-88;-62;-82;-60;-75;2
-87;-85;-82;-86;-62;-82;-60;-75;2
-87;-83;-82;-88;-62;-82;-60;-76;2
-86;-85;-83;-90;-61;-82;-61;-76;2
-87;-84;-82;-86;-61;-82;-61;-76;2
-87;-84;-82;-85;-61;-83;-61;-76;2
-87;-85;-82;-86;-61;-83;-61;-76;2
-87;-86;-82;-87;-61;-82;-61;-76;2
-86;-85;-83;-86;-61;-81;-61;-76;2
-87;-85;-83;-85;-62;-82;-61;-76;2
-87;-85;-83;-85;-61;-81;-61;-76;2
-86;-84;-83;-85;-61;-82;-61;-77;2
-86;-84;-83;-85;-61;-80;-60;-75;2
-86;-85;-83;-85;-61;-80;-60;-75;2
-86;-84;-83;-85;-61;-80;-60;-75;2
-87;-84;-83;-86;-61;-80;-60;-75;2
-90;-85;-83;-86;-61;-83;-60;-80;2
-89;-85;-83;-86;-61;-82;-61;-77;2
-88;-85;-83;-84;-61;-82;-61;-77;2
