COUNTER FLAG;RSSI LEFT_ORIGIN;RSSI MIDDLE_ORIGIN;RSSI RIGHT_ORIGIN;RSSI TRUNK_ORIGIN;RSSI FRONTLEFT_ORIGIN;RSSI FRONTRIGHT_ORIGIN;RSSI REARLEFT_ORIGIN;RSSI REARRIGHT_ORIGIN
94;-82.98333333333333;-84.11666666666666;-83.95833333333333;-87.35833333333333;-68.50833333333334;-84.525;-60.00833333333333;-84.46666666666667
95;-83.86486486486487;-88.47747747747748;-75.93693693693693;-84.76576576576576;-67.54054054054055;-78.81981981981981;-62.6036036036036;-88.29729729729729
96;-90.14876033057851;-83.91735537190083;-74.81818181818181;-81.70247933884298;-61.81818181818182;-75.30578512396694;-62.950413223140494;-85.68595041322314
97;-80.39830508474576;-89.0;-78.61864406779661;-81.26271186440678;-60.228813559322035;-77.2542372881356;-60.80508474576271;-90.22881355932203
98;-85.53719008264463;-88.84297520661157;-84.0495867768595;-75.51239669421487;-73.9090909090909;-78.86776859504133;-60.85950413223141;-83.44628099173553
99;-77.35087719298245;-91.32456140350877;-82.50877192982456;-76.53508771929825;-58.40350877192982;-85.93859649122807;-59.04385964912281;-78.83333333333333
100;-79.8780487804878;-86.16260162601625;-71.82926829268293;-77.55284552845528;-64.52845528455285;-91.79674796747967;-56.3739837398374;-73.95121951219512
101;-82.91304347826087;-76.68695652173913;-72.0695652173913;-82.4608695652174;-66.89565217391305;-91.24347826086957;-57.19130434782609;-81.96521739130435
102;-81.075;-77.4;-76.71666666666667;-80.56666666666666;-72.03333333333333;-88.58333333333333;-51.666666666666664;-86.43333333333334
103;-79.59663865546219;-75.26050420168067;-82.27731092436974;-80.25210084033614;-69.85714285714286;-88.84033613445378;-53.64705882352941;-76.56302521008404
104;-80.37931034482759;-78.28448275862068;-79.17241379310344;-75.05172413793103;-67.55172413793103;-91.44827586206897;-55.310344827586206;-75.75862068965517
105;-85.4959349593496;-77.69918699186992;-74.72357723577235;-80.85365853658537;-69.4390243902439;-94.82113821138212;-56.642276422764226;-83.21138211382114
106;-87.29411764705883;-87.23529411764706;-77.29411764705883;-75.38655462184875;-70.22689075630252;-95.14285714285714;-68.49579831932773;-75.2016806722689
107;-83.28813559322033;-87.86440677966101;-80.69491525423729;-77.03389830508475;-71.28813559322033;-90.12711864406779;-58.59322033898305;-72.72033898305085
108;-84.275;-85.825;-72.65;-82.74166666666666;-66.79166666666667;-90.35;-62.175;-69.60833333333333
109;-87.75652173913043;-82.84347826086956;-73.0695652173913;-75.17391304347827;-71.28695652173913;-89.5304347826087;-63.87826086956522;-69.03478260869565
110;-80.39370078740157;-77.18110236220473;-73.55905511811024;-71.5275590551181;-71.1732283464567;-91.05511811023622;-56.24409448818898;-73.96062992125984
111;-89.60909090909091;-81.67272727272727;-82.38181818181818;-78.44545454545455;-67.46363636363637;-93.5909090909091;-54.236363636363635;-72.99090909090908
112;-83.45762711864407;-89.96610169491525;-81.77118644067797;-72.87288135593221;-66.96610169491525;-89.38135593220339;-58.50847457627118;-70.41525423728814
113;-84.94871794871794;-85.7094017094017;-77.99145299145299;-77.93162393162393;-66.31623931623932;-91.6923076923077;-61.60683760683761;-72.23931623931624
114;-83.68548387096774;-86.55645161290323;-81.25;-89.87096774193549;-66.1774193548387;-94.16935483870968;-60.54838709677419;-82.33064516129032
115;-89.31617647058823;-88.125;-86.58088235294117;-86.28676470588235;-67.44117647058823;-92.125;-62.98529411764706;-71.41911764705883
116;-88.27272727272727;-92.8989898989899;-83.01010101010101;-86.6969696969697;-66.66666666666667;-75.39393939393939;-66.45454545454545;-84.67676767676768
