TIMESTAMP;carType;carBase;algoSelected;isIndoor;addressConnectable;addressConnectableRemote;addressConnectablePC;addressFrontLeft;addressFrontRight;addressLeft;addressMiddle;addressRight;addressTrunk;addressRearLeft;addressBack;addressRearRight;logNumber;rollAvElement;startNumElement;lockNumelement;unlockNumElement;welcomeNumElement;LongNumElement;shortNumElement;thatchamTimeout;preAuthTimeout;actionTimeout;sizeAcc;correctionAcc;frozenThr;wantedSpeed;stepSize;indoorRatioCloseToCar;outsideRatioCloseToCar;offsetEarStart;offsetEarLock;offsetEarUnlock;offsetPocketStart;offsetPocketLock;offsetPocketUnlock;indoorStartThr;indoorUnlockThr;indoorLockThr;indoorWelcomeThr;indoorNearDoorRatioThr;indoorBackDoorRatioMinThr;indoorBackDoorRatioMaxThr;indoorNearDoorRatioMB;indoorNearDoorRatioMLMRMaxThr;indoorNearDoorRatioMLMRMinThr;indoorNearDoorRatioTLTRMaxThr;indoorNearDoorRatioTLTRMinThr;indoorAverageDeltaLockThr;indoorAverageDeltaUnlockThr;outsideStartThr;outsideUnlockThr;outsideLockThr;outsideWelcomeThr;outsideNearDoorRatioThr;outsideBackDoorRatioMinThr;outsideBackDoorRatioMaxThr;outsideNearDoorRatioMB;outsideNearDoorRatioMLMRMaxThr;outsideNearDoorRatioMLMRMinThr;outsideNearDoorRatioTLTRMaxThr;outsideNearDoorRatioTLTRMinThr;outsideAverageDeltaLockThr;outsideAverageDeltaUnlockThr;unlockValidNumber;unlockMode;lockMode;startMode;ecretage100;ecretage70;ecretage50;ecretage30;equaLeft;equaMiddle;equaRight;equaTrunk;equaBack;equaFrontLeft;equaRearLeft;equaFrontRight;equaRearRight;
09:40:45:521;eightFlFrLMRTRlRr;Base_1;MACHINE_LEARNING;false;D4:F5:13:56:2A:B8;5C:E0:C5:34:4D:32;B0:B4:48:BD:56:85;24:71:89:1D:4E:4D;24:71:89:1D:4E:66;24:71:89:1D:4E:79;24:71:89:1D:4E:1A;24:71:89:1D:4E:3D;24:71:89:1D:4C:FC;24:71:89:1D:4E:6D;78:A5:04:81:5A:21;24:71:89:1D:4E:61;20;20;3;5;5;10;20;2;3.0;1.3;0.02;10;0.0;0.0;5.1;70;0;0;-5;-5;-5;0;2;-3;-73;-65;-70;-95;8;-5;5;0;12;2;12;2;-10;10;-73;-65;-70;-95;8;-5;5;0;12;2;12;2;-10;10;1;1;7;1;2.0;2.0;1.0;1.0;0;0;0;2;1;-5;-5;-5;-5
TIMESTAMP;RSSI LEFT;RSSI MIDDLE;RSSI RIGHT;RSSI TRUNK;RSSI FRONTLEFT;RSSI FRONTRIGHT;RSSI REARLEFT;RSSI REARRIGHT;RSSI BACK;RSSI LEFT_ORIGIN;RSSI MIDDLE_ORIGIN;RSSI RIGHT_ORIGIN;RSSI TRUNK_ORIGIN;RSSI FRONTLEFT_ORIGIN;RSSI FRONTRIGHT_ORIGIN;RSSI REARLEFT_ORIGIN;RSSI REARRIGHT_ORIGIN;RSSI BACK_ORIGIN;LEFT_OFFSET38;MIDDLE_OFFSET38;RIGHT_OFFSET38;TRUNK_OFFSET38;FRONTLEFT_OFFSET38;FRONTRIGHT_OFFSET38;REARLEFT_OFFSET38;REARRIGHT_OFFSET38;BACK_OFFSET38;LEFT_OFFSET39;MIDDLE_OFFSET39;RIGHT_OFFSET39;TRUNK_OFFSET39;FRONTLEFT_OFFSET39;FRONTRIGHT_OFFSET39;REARLEFT_OFFSET39;REARRIGHT_OFFSET39;BACK_OFFSET39;LEFT_IS_ACTIVE;MIDDLE_IS_ACTIVE;RIGHT_IS_ACTIVE;TRUNK_IS_ACTIVE;FRONTLEFT_IS_ACTIVE;FRONTRIGHT_IS_ACTIVE;REARLEFT_IS_ACTIVE;REARRIGHT_IS_ACTIVE;BACK_IS_ACTIVE;Z AZIMUTH;X PITCH;Y ROLL;IN POCKET;IS LAID;ARE LOCK ACTIONS AVAILABLE;IS START BLOCKED;IS START FORCED;IS LOCK BLOCKED;IS LOCK FORCED;IS UNLOCK BLOCKED;IS UNLOCK FORCED;IS FROZEN;IS LOCK;REARM LOCK;REARM UNLOCK;REARM WELCOME;WELCOME FLAG;LOCK FLAG;START FLAG;LEFT AREA FLAG;RIGHT AREA FLAG;BACK AREA FLAG;WALK AWAY FLAG;APPROACH FLAG;LEFT TURN FLAG;RIGHT TURN FLAG;APPROACHSIDE FLAG;APPROACHROAD FLAG;RECORD FLAG;PREDICTION;LOCK FROM TRX;LOCK TO SEND;START ALLOWED;IS THATCHAM;BLE CHANNEL LEFT;BLE CHANNEL MIDDLE;BLE CHANNEL RIGHT;BLE CHANNEL TRUNK;BLE CHANNEL FRONTLEFT;BLE CHANNEL FRONTRIGHT;BLE CHANNEL REARLEFT;BLE CHANNEL REARRIGHT;BLE CHANNEL BACK;BEEPINT;
09:40:52:181;-76;-73;-84;-95;-76;-67;-96;-91;0;-95;-78;-72;-88;-85;-74;-90;-91;0;10;10;-10;-10;10;10;-2;0;0;20;4;-14;-7;14;15;-2;10;0;1;1;1;1;1;1;1;1;0;-1.3758605;0.024830015;-0.014137385;0;0;1;0;0;0;0;0;0;0;4;7;9;1;0;2;0;10;10;10;14;14;0;0;0;0;0;right;0;0;0;1;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;UNKNOWN;0;
09:40:52:350;-78;-75;-84;-96;-76;-67;-98;-89;0;-98;-79;-74;-89;-85;-75;-94;-88;0;10;10;-10;-10;10;10;-2;0;0;20;4;-14;-7;14;15;-2;10;0;1;1;1;1;1;1;1;1;0;-1.3703226;0.024804931;-0.013614123;0;0;1;0;0;0;0;0;0;0;4;7;9;1;0;2;0;10;10;10;14;14;0;0;0;0;0;right;0;0;0;1;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;UNKNOWN;0;
09:40:52:513;-76;-76;-86;-94;-77;-65;-100;-89;0;-95;-80;-83;-85;-86;-74;-97;-94;0;10;10;-10;-10;10;10;-2;0;0;20;4;-14;-7;14;15;-2;10;0;1;1;1;1;1;1;1;1;0;-1.3753891;0.02479232;-0.013607197;0;0;1;0;0;0;0;0;0;0;4;7;9;1;0;2;0;10;10;10;14;14;0;0;0;0;0;right;0;0;0;1;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;UNKNOWN;0;
09:40:52:649;-76;-78;-85;-91;-77;-66;-101;-87;0;-96;-82;-71;-80;-86;-76;-94;-91;0;10;10;-10;-10;10;10;-2;0;0;20;4;-14;-7;14;15;-2;10;0;1;1;1;1;1;1;1;1;0;-1.3753997;0.02483036;-0.013118595;0;0;1;0;0;0;0;0;0;0;4;7;9;1;0;2;0;10;10;10;14;14;0;0;0;0;0;right;0;0;0;1;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;UNKNOWN;0;
09:40:52:801;-76;-79;-86;-92;-79;-67;-99;-91;0;-96;-83;-69;-85;-87;-79;-92;-96;0;10;10;-10;-10;10;10;-2;0;0;20;4;-14;-7;14;15;-2;10;0;1;1;1;1;1;1;1;1;0;-1.3678017;0.023799952;-0.013111915;0;0;1;0;0;0;0;0;0;0;4;7;9;1;0;2;0;10;10;10;14;14;0;0;0;0;0;right;0;0;0;1;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;UNKNOWN;0;
09:40:52:933;-76;-77;-88;-93;-77;-69;-100;-89;0;-96;-81;-74;-86;-85;-79;-93;-91;0;10;10;-10;-10;10;10;-2;0;0;20;4;-14;-7;14;15;-2;10;0;1;1;1;1;1;1;1;1;0;-1.3635838;0.024309153;-0.0120936185;0;0;1;0;0;0;0;0;0;0;4;7;9;1;0;2;0;10;10;10;14;14;0;0;0;0;0;right;0;0;0;1;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;UNKNOWN;0;
09:40:53:090;-74;-77;-87;-95;-76;-67;-102;-91;0;-92;-81;-73;-89;-85;-77;-95;-96;0;10;10;-10;-10;10;10;-2;0;0;20;4;-14;-7;14;15;-2;10;0;1;1;1;1;1;1;1;1;0;-1.3694824;0.025821755;-0.014631862;0;0;1;0;0;0;0;0;0;0;4;7;9;1;0;2;0;10;10;10;14;14;0;0;0;0;0;right;0;0;0;1;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;UNKNOWN;0;
09:40:53:234;-75;-77;-88;-94;-78;-69;-100;-89;0;-95;-81;-74;-87;-87;-79;-91;-92;0;10;10;-10;-10;10;10;-2;0;0;20;4;-14;-7;14;15;-2;10;0;1;1;1;1;1;1;1;1;0;-1.3564167;0.020247104;-0.015156143;0;0;1;0;0;0;0;0;0;0;4;7;9;1;0;2;0;10;10;10;14;14;0;0;0;0;0;right;0;0;0;1;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;UNKNOWN;0;
09:40:53:389;-75;-77;-92;-92;-77;-69;-99;-87;0;-95;-81;-82;-85;-86;-79;-92;-92;0;10;10;-10;-10;10;10;-2;0;0;20;4;-14;-7;14;15;-2;10;0;1;1;1;1;1;1;1;1;0;-1.3668729;0.024830015;-0.014137385;0;0;1;0;0;0;0;0;0;0;4;7;9;1;0;2;0;10;10;10;14;14;0;0;0;0;0;right;0;0;0;1;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;UNKNOWN;0;
09:40:53:524;-75;-78;-90;-91;-77;-68;-98;-86;0;-95;-82;-80;-84;-86;-78;-91;-91;0;10;10;-10;-10;10;10;-2;0;0;20;4;-14;-7;14;15;-2;10;0;1;1;1;1;1;1;1;1;0;-1.3718712;0.024842842;-0.013634939;0;0;1;0;0;0;0;0;0;0;4;7;9;1;0;2;0;10;10;10;14;14;0;0;0;0;0;right;0;0;0;1;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;BLE_CHANNEL_39;UNKNOWN;0;
